HH Size,HH Income,Mean HH Age,Rent,Latest Subsidy,First Subsidy,Late Fees?,Military,Disability,PrimaryIncome,Negative,Validation Stratified by Negative
2,11676,30.2,900,0,0,N,NA,NA,B,0,Training
1,20800,40.81,615,0,0,Y,NA,NA,W,0,Training
2,17441,35.32,625,0,0,N,NA,NA,F,0,Training
1,16536,,689,0,0,Y,NA,NA,NA,0,Training
1,15749,35.25,418,0,0,Y,Yes,NA,PE,0,Training
1,48000,28.7,940,0,0,Y,NA,NA,NA,0,Training
2,26208,30.65,1092,0,0,Y,No,NA,NA,0,Training
1,9711,59.06,457,205,398,N,Yes,NA,W,0,Training
1,20880,,870,0,0,N,NA,NA,NA,0,Training
1,21000,30.47,585,0,0,Y,NA,NA,W,0,Training
1,1068,55.55,400,400,385,N,NA,NA,NA,0,Training
2,30000,51.35,1020,0,0,N,NA,NA,NA,0,Training
1,16790,36.54,510,0,0,Y,NA,NA,W,0,Training
1,28530,59.7,634,0,0,Y,NA,NA,W,0,Training
1,14664,38.04,569,519,486,Y,NA,NA,B,0,Training
1,2436,55.33,402,0,0,N,NA,NA,G,0,Training
1,17592,,733,0,0,N,NA,NA,NA,0,Training
3,21882,26.53,575,0,0,N,NA,NA,W,0,Training
2,18000,25.84,795,0,0,N,NA,NA,NA,0,Training
1,24545,45.77,600,0,0,Y,NA,NA,NA,0,Training
1,5148,26.25,625,578,503,Y,NA,NA,U,0,Training
2,5244,27.04,850,553,685,N,NA,NA,G,0,Training
1,38500,31.31,995,0,0,N,NA,NA,NA,0,Training
1,29484,26.61,622,0,0,Y,NA,NA,W,0,Training
2,30000,47.73,870,0,0,Y,NA,NA,NA,0,Training
1,5856,63.6,412,329,329,N,NA,NA,NA,0,Training
1,14911,92.83,595,291,0,N,NA,NA,SS,0,Training
1,23888,26.06,500,0,0,Y,NA,NA,W,0,Training
1,17288,72.68,817,335,370,N,Yes,NA,B,0,Training
2,5083,17.37,810,749,533,Y,NA,NA,W,0,Training
1,22580,44.22,634,0,0,Y,NA,NA,W,0,Training
2,28256,21.23,450,0,0,N,NA,NA,W,0,Training
1,9960,,415,0,0,N,NA,NA,NA,0,Training
1,17316,41.58,519,0,0,Y,NA,NA,W,0,Training
1,600,23.99,645,141,583,Y,NA,NA,N,0,Training
1,33930,31.4,665,0,0,Y,NA,NA,F,0,Training
1,29640,30.55,390,0,0,N,NA,NA,W,0,Training
1,10411,66.96,430,0,0,N,NA,NA,W,0,Training
3,12993,35.66,700,0,0,N,NA,NA,SS,0,Training
2,69000,36.68,845,0,0,Y,NA,NA,NA,0,Training
1,29286,45.99,625,0,0,N,NA,NA,W,0,Training
1,1068,33.99,623,623,608,N,NA,NA,NA,0,Training
1,14019,53.98,539,278,275,N,NA,NA,B,0,Training
2,20235,33.86,867,0,0,N,NA,NA,W,0,Training
1,19500,30.91,411,0,0,N,NA,NA,NA,0,Training
1,17723,70.79,850,424,387,N,No,No,SS,0,Training
1,36000,33.83,910,0,0,N,NA,NA,NA,0,Training
2,10800,33.07,440,0,0,N,NA,NA,NA,0,Training
1,13584,38.69,835,835,813,N,NA,NA,G,0,Training
1,9302,42.32,405,0,0,N,NA,NA,SS,0,Training
1,4162,27.46,605,569,495,Y,NA,NA,N,0,Training
1,1128,62.91,653,592,567,N,NA,NA,G,0,Training
1,14400,38.19,452,0,0,N,NA,NA,F,0,Training
2,34800,39.02,758,0,0,N,NA,NA,NA,0,Training
1,12338,61.01,394,0,0,Y,NA,NA,W,0,Training
1,12480,29.21,422,0,0,N,NA,NA,W,0,Training
5,26086,22,838,0,0,N,NA,NA,W,0,Training
1,2436,65.86,696,573,610,N,NA,NA,G,0,Training
1,19560,,815,0,0,N,NA,NA,NA,0,Training
2,42000,23.72,1365,0,0,Y,NA,NA,NA,0,Training
1,33850,29.35,631,0,0,N,NA,NA,W,0,Training
2,30623,27.37,900,0,0,N,NA,NA,W,0,Training
1,16144,32.8,695,0,0,Y,NA,NA,U,0,Training
1,10193,48.73,609,534,460,N,No,No,SS,0,Training
1,696,24.83,623,559,544,Y,NA,NA,N,0,Training
1,27120,35.64,663,0,0,N,NA,NA,W,0,Training
1,26000,54.18,708,0,0,N,NA,NA,W,0,Training
2,22010,29.29,630,0,0,N,NA,NA,W,0,Training
1,840,56.24,768,678,640,N,NA,NA,N,0,Training
1,2173,23.44,625,549,275,Y,NA,NA,W,0,Training
1,1068,61.76,650,650,600,N,NA,NA,NA,0,Training
2,26940,20.22,650,0,0,Y,NA,NA,W,0,Training
1,21468,60.68,650,0,0,N,NA,NA,NA,0,Training
1,18572,29.48,631,0,0,Y,NA,NA,W,0,Training
1,12720,,530,0,0,N,NA,NA,NA,0,Training
1,13069,71.54,595,330,0,N,NA,NA,SS,0,Training
2,19200,36.25,1152,130,683,N,NA,NA,NA,0,Training
1,60000,30.57,895,0,0,N,NA,NA,NA,0,Training
1,9624,58.23,478,0,0,N,No,Yes,SS,0,Training
1,24960,51.82,478,0,0,N,NA,NA,B,0,Training
1,9792,53.35,828,600,559,Y,No,NA,SI,0,Training
1,5392,25.72,612,398,470,Y,NA,NA,SI,0,Training
1,19145,54.16,828,0,0,Y,NA,NA,SS,0,Training
1,42000,29.59,1020,0,0,N,NA,NA,NA,0,Training
1,7940,56.89,569,367,368,N,NA,NA,SS,0,Training
1,2436,28.72,612,571,551,Y,NA,NA,G,0,Training
1,13560,47.52,644,310,241,N,No,NA,NA,0,Training
1,1128,23.82,625,576,562,Y,No,No,G,0,Training
1,23428,55.14,360,0,0,Y,NA,NA,F,0,Training
5,34958,21.86,1181,0,0,Y,NA,NA,W,0,Training
4,22227,21.2,1048,0,0,Y,NA,NA,G,0,Training
1,27300,56.65,677,0,0,Y,NA,NA,W,0,Training
2,30831,25.64,835,0,0,N,NA,NA,W,0,Training
4,6144,22.29,1121,1103,1103,N,NA,NA,G,0,Training
1,3180,45.02,720,720,623,N,NA,NA,NA,0,Training
1,1068,58.24,622,622,608,N,NA,NA,G,0,Training
2,67956,38.87,1150,0,0,Y,NA,NA,NA,0,Training
4,21736,32.32,780,0,0,Y,NA,NA,W,0,Training
1,20880,,870,0,0,N,NA,NA,NA,0,Training
1,35000,48.35,870,0,0,Y,NA,NA,NA,0,Training
5,14752,26.84,1035,888,708,N,NA,NA,W,0,Training
1,23227,32,520,0,0,Y,No,NA,W,0,Training
1,4800,,200,0,0,N,NA,NA,NA,0,Training
1,8463,45.48,420,200,229,Y,NA,NA,W,0,Training
1,3168,36.83,720,720,608,Y,No,Yes,NA,0,Training
1,18780,35.44,460,0,0,N,NA,NA,W,0,Training
1,1200,36.4,777,910,0,N,NA,NA,NA,0,Training
1,1104,60.62,628,567,556,N,NA,NA,G,0,Training
4,18688,13.5,931,430,184,Y,NA,NA,W,0,Training
1,9139,28.58,721,721,718,N,NA,NA,NA,0,Training
1,28204,31.81,635,0,0,N,NA,NA,F,0,Training
1,32500,44.64,365,0,0,N,NA,NA,F,0,Training
1,23275,65.27,461,90,0,N,No,Yes,SS,0,Training
1,10681,27.91,422,0,0,Y,NA,NA,W,0,Training
1,27300,46.1,478,0,0,N,NA,NA,W,0,Training
1,9060,62.73,433,0,0,N,NA,NA,SI,0,Training
1,27339,36.88,701,0,0,N,NA,NA,W,0,Training
1,21790,26.56,480,0,0,Y,NA,NA,W,0,Training
1,600,28.67,612,499,562,Y,NA,NA,N,0,Training
1,5590,23.98,645,596,505,Y,NA,NA,W,0,Training
2,2200,29.29,1200,0,0,N,NA,NA,NA,0,Training
2,18408,30.18,767,0,0,N,NA,NA,NA,0,Training
1,21587,49.43,850,364,315,N,No,Yes,SS,0,Training
2,32000,30.03,820,0,0,N,NA,NA,NA,0,Training
1,5200,33.07,114,671,0,Y,No,No,W,0,Training
1,19126,28.8,575,0,0,N,NA,NA,W,0,Training
1,11801,45.3,580,0,0,Y,NA,NA,F,0,Training
1,2436,25.28,625,362,571,Y,NA,NA,G,0,Training
3,47000,61.12,855,0,0,Y,NA,NA,NA,0,Training
1,13104,29.81,403,0,0,Y,NA,NA,N,0,Training
1,9305,59.25,623,404,417,N,NA,NA,SS,0,Training
1,26081,31.15,551,0,0,N,NA,NA,W,0,Training
2,14104,25.44,895,0,0,N,NA,NA,W,0,Training
1,22880,38.22,645,0,0,Y,NA,NA,W,0,Training
1,30795,24.67,718,0,0,Y,No,NA,W,0,Training
1,13003,27.58,434,0,0,Y,NA,NA,W,0,Training
7,7584,35.16,1250,773,735,Y,NA,NA,W,0,Training
3,1608,31.81,1287,1035,1158,N,NA,NA,T,0,Training
2,12658,49.7,704,0,0,Y,No,NA,W,0,Training
5,8970,20.81,1121,809,809,N,No,NA,NA,0,Training
1,13559,65.95,459,450,450,Y,NA,NA,SS,0,Training
1,7540,24.59,625,467,582,Y,NA,NA,W,0,Training
1,18576,33.21,450,0,0,Y,NA,NA,NA,0,Training
1,30000,45.28,900,0,0,N,NA,NA,NA,0,Training
7,14200,22.29,1016,726,800,Y,NA,NA,NA,0,Training
2,43128,29.85,900,0,0,N,NA,NA,NA,0,Training
1,10944,,456,0,0,Y,NA,NA,NA,0,Training
1,27000,33.67,460,0,0,N,NA,NA,W,0,Training
2,12000,30.85,995,0,0,N,NA,NA,NA,0,Training
2,5096,19.57,1143,1240,0,Y,No,NA,U,0,Training
2,5244,18.63,868,868,822,N,NA,NA,G,0,Training
1,21172,31.3,610,0,0,N,NA,NA,F,0,Training
1,26976,30.14,900,0,0,N,NA,NA,NA,0,Training
1,23280,,970,0,0,N,NA,NA,NA,0,Training
5,10439,31.62,874,0,0,N,NA,NA,W,0,Training
1,18792,35.35,438,438,429,N,No,No,SS,0,Training
1,8088,69.35,560,291,354,N,NA,NA,NA,0,Training
2,42000,54.73,1134,0,0,Y,No,NA,NA,0,Training
7,6873,12.16,1404,843,959,Y,No,NA,W,0,Training
1,10041,24.38,666,366,454,Y,No,NA,W,0,Training
1,3000,23.64,605,544,514,Y,NA,NA,G,0,Training
1,27865,29.15,653,0,0,N,NA,NA,W,0,Training
1,24768,61.74,459,0,0,Y,NA,NA,W,0,Training
1,2436,52.37,599,538,475,N,NA,NA,G,0,Training
1,13152,71.37,936,692,0,N,No,NA,SS,0,Training
1,4800,25.8,612,582,476,Y,NA,NA,B,0,Training
1,11460,61.72,437,0,0,Y,No,Yes,SI,0,Training
1,982,36.9,626,626,551,N,No,No,G,0,Training
1,1140,44.76,638,588,578,Y,NA,NA,G,0,Training
1,1212,60.47,599,538,478,N,NA,NA,G,0,Training
2,2436,55.97,968,854,868,Y,No,NA,G,0,Training
1,3504,39.67,645,645,645,N,NA,NA,N,0,Training
4,25320,15.56,812,0,0,Y,No,NA,W,0,Training
3,14756,25.12,828,0,0,Y,NA,NA,W,0,Training
2,6414,18.7,819,477,650,Y,NA,NA,G,0,Training
2,11660,25.26,670,0,0,N,NA,NA,W,0,Training
2,28800,,1200,0,0,N,NA,NA,NA,0,Training
1,11040,,460,0,0,N,NA,NA,NA,0,Training
1,11960,28.91,664,0,0,N,NA,NA,NA,0,Training
1,22937,26.98,634,0,0,N,NA,NA,W,0,Training
1,11866,27.73,605,338,409,Y,NA,NA,W,0,Training
1,4836,22.57,625,625,538,Y,NA,NA,W,0,Training
1,3708,58.33,650,650,631,N,NA,NA,N,0,Training
2,7308,59.84,765,464,578,Y,NA,NA,SI,0,Training
1,12737,54.14,440,440,440,N,NA,NA,SS,0,Training
1,18000,26.27,750,0,0,N,NA,NA,NA,0,Training
3,18014,20.18,945,347,385,Y,NA,NA,W,0,Training
1,19600,49.12,575,0,0,N,NA,NA,W,0,Training
1,17143,59.91,365,521,0,N,No,Yes,SS,0,Training
1,14616,29.83,817,638,589,Y,No,NA,SS,0,Training
1,9491,51.15,704,489,568,Y,No,Yes,SS,0,Training
1,11808,28.27,402,0,0,N,NA,NA,W,0,Training
1,2436,47.65,39,883,0,N,No,No,G,0,Training
1,15210,71.53,599,0,0,N,No,NA,SS,0,Training
2,19138,29.02,828,0,0,Y,NA,NA,W,0,Training
1,11245,56.58,454,0,0,Y,No,No,SS,0,Training
1,10400,25.88,625,363,363,N,NA,NA,W,0,Training
1,10008,81.04,936,664,0,N,No,NA,SS,0,Training
1,4728,59.55,657,657,631,N,NA,NA,G,0,Training
1,8088,66.25,663,663,650,N,NA,NA,NA,0,Training
2,28000,29.97,1230,0,0,N,NA,NA,NA,0,Training
4,25918,39.5,755,0,0,N,No,NA,W,0,Training
1,4560,45.38,580,580,552,N,NA,NA,NA,0,Training
2,5244,12.34,819,737,711,Y,NA,NA,G,0,Training
2,17400,25.24,725,0,0,N,NA,NA,NA,0,Training
1,2829,51.76,628,401,538,N,NA,NA,W,0,Training
1,24867,24.96,663,0,0,Y,NA,NA,W,0,Training
1,2436,55.4,608,608,608,N,NA,NA,NA,0,Training
1,17756,61.62,663,0,0,N,NA,NA,SS,0,Training
2,5262,43.73,850,826,606,N,NA,NA,G,0,Training
1,2436,65.04,630,397,591,N,NA,NA,G,0,Training
1,2100,28.33,885,568,0,Y,NA,NA,N,0,Training
5,21600,36.22,1427,1055,1043,Y,No,NA,NA,0,Training
1,10320,,430,0,0,N,NA,NA,NA,0,Training
1,5244,24.59,810,461,704,Y,NA,NA,T,0,Training
1,10644,71.47,936,712,0,N,No,NA,SS,0,Training
2,9864,45.23,411,0,0,N,NA,NA,NA,0,Training
3,28061,24.36,1071,0,0,Y,No,NA,W,0,Training
1,2436,55.96,620,415,232,Y,NA,NA,G,0,Training
1,12960,,540,0,0,Y,NA,NA,NA,0,Training
1,1068,47.33,608,23,608,N,NA,NA,NA,0,Training
1,19835,27.54,653,0,0,Y,No,No,W,0,Training
1,13240,58.72,683,369,366,Y,NA,NA,SI,0,Training
1,3744,33.09,653,347,578,Y,No,Yes,W,0,Training
1,24960,32.88,655,0,0,N,NA,NA,W,0,Training
1,17574,54.82,631,0,0,N,NA,NA,SI,0,Training
1,13080,,545,0,0,N,NA,NA,NA,0,Training
2,58000,42.38,1067,0,0,Y,Yes,NA,NA,0,Training
3,18200,13.41,910,401,0,Y,NA,NA,W,0,Training
1,0,46.44,817,817,756,N,No,NA,NA,0,Training
1,10392,54.43,432,0,0,Y,No,Declined,SS,0,Training
2,2436,51.47,51,500,0,N,NA,Yes,G,0,Training
2,45000,40.43,930,0,0,N,NA,NA,NA,0,Training
1,22607,25.96,650,0,0,Y,NA,NA,W,0,Training
1,3528,53.67,720,720,623,N,No,Yes,NA,0,Training
1,2436,59.65,450,450,450,N,NA,NA,G,0,Training
1,1140,54.47,638,577,578,Y,NA,NA,G,0,Training
2,39209,19.6,920,0,0,N,NA,NA,W,0,Training
2,19200,38.89,800,0,0,N,NA,NA,NA,0,Training
1,22880,31.22,812,311,0,N,NA,NA,W,0,Training
1,8892,74.71,478,0,0,N,No,Yes,SI,0,Training
4,21334,17.38,690,0,0,N,NA,NA,U,0,Training
